ProbeID	geneName	"absolute expression, parental strain t=0 (arbitrary units)"	wt t=0	wt t=10	wt t=20	wt t=30	wt t=45	wt t=60	wt t=90	wt t=120	gat1-deletion t=0	gat1-deletion t=10	gat1-deletion t=20	gat1-deletion t=30	gat1-deletion t=45	gat1-deletion t=60	gat1-deletion t=90	gat1-deletion t=120	gcn4-deletion t=0	gcn4-deletion t=10	gcn4-deletion t=20	gcn4-deletion t=30	gcn4-deletion t=45	gcn4-deletion t=60	gcn4-deletion t=90	gcn4-deletion t=120	leu3-deletion t=0	leu3-deletion t=10	leu3-deletion t=20	leu3-deletion t=30	leu3-deletion t=45	leu3-deletion t=60	leu3-deletion t=90	leu3-deletion t=120
10000_at		0.206	0	-1.041000463	-1.691234506	-2.14197094	-2.547809502	0.00695276	-1.5766232	-1.815742708	-2.132772003	-1.201633861	0.399270183	-1.954719121	-0.162105497	-2.049630768	-1.277322793	-0.11605813	-2.214515153	-0.146592498	-1.140433705	-0.616671361	-1.021061616	-0.810843908	0.054705892	-2.527575019	-2.378790432	-2.83053971	-0.523561956	-0.564203941	0.158262084	-0.25885873	-0.574545885	-1.237337923
10001_at	MID2	1.935	0	-0.299560282	-0.526545815	-0.558016153	-0.070240297	-0.291329353	-0.161473228	-0.226247736	0.155278225	-0.023287955	0.010395171	0.37919933	0.67312653	0.552811977	-0.016488123	0.185080192	-0.085973223	0.361327555	0.435386144	0.410372504	0.482016199	0.564448717	0.290590128	0.074782822	-0.124447371	-0.236746473	0.056268219	0.008914724	0.136419198	-0.091520533	-0.039279988	0.219408563
10002_i_at		14.06	0	0.107713817	-0.127575054	-0.582194888	-0.110858951	-0.24912718	-0.087777096	-0.139957813	-0.368562774	-0.398003821	-1.045337089	-0.279939368	-0.1097514	-0.133190409	-0.746849222	-0.224942639	-0.578819443	-0.282433008	-0.541156135	-0.24425773	-0.723620766	-0.289939894	-0.825760747	-0.300010225	-0.50897024	-0.839281544	-0.361954596	-0.171965671	-0.646429962	-0.710801224	-0.34491366	-0.36988805
10003_f_at	RPS25B	116.8	0	0.043794748	-0.094426701	-0.524127931	-0.113007956	-0.115682065	-0.047717086	-0.247454365	-0.086535987	-0.394267999	-0.780424759	-0.168843087	-0.008672228	-0.157777405	-0.715096688	-0.164683503	-0.685593925	-0.244817459	-0.126428347	-0.032477343	-0.700169549	-0.880110466	-0.466670885	-0.417670821	-0.461559229	-0.776610962	-0.347942393	-0.43727228	-0.748946985	-0.434098069	-0.25053686	-0.340885411
10004_at		0.0107	0	0.87782813	1.830074999	0.67652974	0.118319967	0.645335119	1.987616276	0.605368711	2.160302417	-0.089005006	1.645335119	0.083831591	1.424256029	1.289506617	-0.089005006	0.891186513	0.405759686	1.314510623	1.428843299	-0.089005006	-0.089005006	2.625490307	-0.089005006	0.836994413	-0.050185757	-0.089005006	0.348803801	0.048498518	-0.089005006	0.555900035	1.083831591	0.469485283
10005_at	NUP2	2.521	0	-0.113619272	0.118554171	-0.19378962	0.062139245	0.178417059	-0.144269484	-0.208917174	0.371188506	0.319408903	0.782461777	0.54278335	0.799652664	0.666873698	0.177405706	0.074143585	-0.142374111	0.515430983	0.122763349	0.202976296	0.214361493	0.433510159	0.153432495	0.031683988	0.586868055	0.467004293	0.316655667	0.457454112	0.629645502	0.338988148	0.457454112	0.394440594
10006_at	SGD1	0.884	0	0.777471726	-0.311775378	-0.835337334	-0.070144824	0.120359439	0.127838435	0.086983302	0.625151591	-0.049753035	0.433261258	0.687212559	1.027449979	0.623036202	-0.309753381	-0.077006644	-0.42539899	0.849807064	0.242512082	0.059089296	-0.57764535	0.148575682	-0.026321278	0.213281371	-0.303704336	-0.962985157	0.199151042	0.231446294	-0.686245836	0.133793841	-0.044699807	-0.110053545
10007_at	VRP1	1.863	0	-0.49786393	-0.197074603	-0.345532989	-0.441070235	-0.770108459	-0.632964964	-1	-0.637773952	-0.888338177	-0.300036655	-0.841818332	-0.607977456	-0.068146536	-0.449500909	-1.047202521	-0.535511217	-0.417102918	-0.699279218	-0.612703734	-0.001548787	-0.279223644	-0.875501458	-0.759587391	-0.732329184	0.46111931	-0.363344265	-0.695514027	0.006178575	-1.30768009	-0.796751784	-0.156827013
10008_at		0.0251	0	1.564551041	1.804984018	1.26211285	0.759996563	0.597802847	0.443769218	1.473931188	1.639205546	0.111645356	0.696607857	0.176665148	0.181547369	0.021942553	0.842458723	0.811297792	1.881987087	2.38148494	3.397309907	0.988902291	1.366556698	0.972094003	1.139512149	-0.062121712	0.064851144	0.111645356	-0.240003437	-0.362570079	-0.201357509	-0.320546864	0.26211285	0.61955243
10009_at		0.883	0	0.842364565	0.586050096	-0.367942382	0.463579851	0.049725374	-0.260425554	-0.131477696	-0.065095028	-0.746243408	-0.378511624	0.282218385	0.509013647	0.414221264	-0.509453101	-0.033015057	-0.628031223	-0.178723822	0.12946952	-0.53287399	-0.933034176	-1.023030969	-0.085729874	-0.210473732	0.626782676	0.063846482	0.510160008	-0.171353716	-0.03970971	0.358029586	0.694905397	0.468306129
