ProbeID	geneName	"absolute expression, parental strain t=0 (arbitrary units)"	wt t=0	wt t=10	wt t=20	wt t=30	wt t=45	wt t=60	wt t=90	wt t=120	gat1-deletion t=0	gat1-deletion t=10	gat1-deletion t=20	gat1-deletion t=30	gat1-deletion t=45	gat1-deletion t=60	gat1-deletion t=90	gat1-deletion t=120	gcn4-deletion t=0	gcn4-deletion t=10	gcn4-deletion t=20	gcn4-deletion t=30	gcn4-deletion t=45	gcn4-deletion t=60	gcn4-deletion t=90	gcn4-deletion t=120	leu3-deletion t=0	leu3-deletion t=10	leu3-deletion t=20	leu3-deletion t=30	leu3-deletion t=45	leu3-deletion t=60	leu3-deletion t=90	leu3-deletion t=120
10000_at		0.194	0	0.080087911	-0.021479727	-0.207892852	0.070966521	-0.066261442	-0.063502942	-0.062121712	-0.149259365	-0.166072676	0.084670324	-0.025737561	0.241270432	-0.049630768	-0.008630305	-0.011495639	-0.230203013	-0.042644337	0.128156351	-0.074505436	-0.175045486	-0.034215715	0.081613766	-0.079975377	-0.185232254	-0.205392513	-0.071762669	-0.060739158	0	0.042456799	-0.146655222	-0.24610401
10001_at	MID2	1.48	0	-0.466757616	-0.376290383	-0.619178216	-0.199122642	-0.10701825	-0.142740172	-0.210388864	0.066427362	0.013043037	0.150400989	0.224317298	0.377069649	0.23786383	-0.03562391	0.084670324	-0.146655222	0.20756107	0.367731785	0.260151897	0.312939312	0.394031641	0.30222618	-0.147957881	-0.149259365	-0.38294387	0.182786076	-0.007195501	0.020340448	-0.052415894	0.074000581	0.187707155
10002_i_at		13.96	0	-0.312665174	-0.146655222	-0.640620928	-0.097610797	-0.200378798	-0.304511042	-0.082702589	-0.014355293	-0.22897257	-0.999278472	-0.230203013	-0.168642036	0.126580497	-0.656267535	-0.121678557	0.058893689	-0.423309237	-0.393965276	-0.025737561	-0.560714954	-0.435095152	-0.478195258	-0.610700062	-0.385154897	-0.59072177	-0.319617934	-0.109694865	-0.468843943	-0.442545456	-0.284514133	-0.35614381
10003_f_at	RPS25B	132.6	0	-0.182692298	-0.105678078	-0.447843644	-0.119024103	-0.167357928	-0.244887059	-0.194087052	-0.132247798	-0.247319935	-0.66448284	-0.22527493	-0.124328135	-0.166072676	-0.642470537	-0.129612738	-0.326537348	-0.298658316	-0.214124805	-0.074505436	-0.423309237	-0.534061602	-0.3021728	-0.473007568	-0.284514133	-0.492622329	-0.358396262	-0.404903122	-0.49978212	-0.343692069	-0.263034406	-0.376290383
10004_at		0.148	0	0.164884385	0.182786076	0.18606493	0.103146927	0.12973393	0.10780329	0.18606493	0.086201035	0.067938829	-0.063502942	0.248107862	0.192645078	0.098505545	0.195946441	0.090802937	0.067938829	0.051399153	0.164884385	0.023269779	-0.001441974	0.098505545	0.112474729	0.349235441	0.036525876	0.013043037	-0.005759269	0.057391664	0.052894948	0.16326792	-0.024319679	-0.064882852
10005_at	NUP2	3.83	0	-0.23878686	-0.140124224	-0.804879608	-0.153156788	-0.164786278	-0.358396262	-0.182692298	-0.060739158	0.081613766	0.452056689	0.051399153	0.194294815	0.125006361	-0.320773477	-0.093560176	-0.438292852	0.02180437	-0.22897257	-0.301002256	-0.284514133	-0.123003954	-0.128293401	-0.599317794	0.005782353	-0.059355278	0.239566125	-0.062121712	0.054392297	-0.150559677	0.128156351	0.10159814
10006_at	SGD1	1.125	0	0.543719518	-0.178873958	-0.718964336	-0.052415894	-0.209141398	-0.178873958	-0.115033243	-0.075874867	0.10780329	0.140825544	0.289827252	0.541617996	0.067938829	-0.631337144	-0.220329955	-0.23388806	0.698997744	0.158429363	-0.142740172	-0.237563718	-0.191562651	-0.303342394	-0.321928095	-0.439357178	-0.24610401	-0.147957881	-0.112366523	-0.241230036	-0.242450074	-0.197865391	-0.331131922
10007_at	VRP1	2.045	0	0.011587974	-0.132247798	-0.12035194	-0.166072676	-0.257010618	-0.442545456	-0.546956178	-0.339137385	-0.380729449	0.011587974	-0.298658316	-0.162210036	0.002888279	-0.386259141	-0.54399072	-0.195347598	-0.202887833	-0.186500558	-0.273814245	0.024736678	-0.022900402	-0.473007568	-0.59072177	-0.316145742	0.078563669	0.220950447	-0.54399072	0.01887801	-0.489542936	-0.266636643	-0.097610797
10008_at		0.346	0	0.16326792	0.205896101	0.537424112	0.18606493	0.177881725	0.080087911	0.067938829	-0.015782997	-0.206643224	-0.221567789	-0.01720929	0.128156351	0.017417053	0.128156351	0.140825544	0.190997225	0.434402824	0.512513651	0.227692025	0.184424571	0.174621396	0.058893689	0.246395464	-0.142740172	-0.166072676	-0.097610797	-0.008630305	0.036525876	0.030619235	-0.160920188	-0.053806444
10009_at		0.926	0	0.438307279	0.160040413	0.272297327	0.352915787	0.312939312	-0.191562651	-0.216610069	-0.353887836	-0.566571641	-0.358396262	0.153606979	0.174621396	-0.011495639	0.013043037	0.078563669	-0.387362541	-0.185232254	-0.049630768	-0.247319935	-0.377401431	-0.518031493	-0.018634174	-0.230203013	0.189351252	-0.078609835	-0.073134705	-0.073134705	-0.053806444	0.305788392	0.110915901	-0.052415894
